title,location,date,event_type
The Endless Summer Tango Marathon - 7th Edition - LA,"Los Angeles, United States","Thursday, 21 May 2020 - Monday, 25 May 2020",Past Tango Marathon
Tesoromio Tango Weekend Kyiv May 2020,"Kyiv, Ukraine","Thursday, 21 May 2020 - Sunday, 24 May 2020",Past Tango Weekend / Festivalito
Tenerife Tango Meeting 2020,"Puerto de la Cruz, Spain","Wednesday, 20 May 2020 - Sunday, 24 May 2020",Past Tango Festival
Tango Immersion Week. Private Classes by the Sea,"Anavyssos, Greece","Saturday, 16 May 2020 - Saturday, 23 May 2020",Past Uncategorised Tango Event
Mysterious Castle Tango Weekend,"Fürstenberg/Havel, Germany","Friday, 15 May 2020 - Sunday, 17 May 2020",Past Tango Marathon
BAROLERA Tango Marathon,"La Morra, Italy","Friday, 15 May 2020 - Sunday, 17 May 2020",Past Tango Marathon
HDTM - Heidelberg Tangomarathon,"Heidelberg, Germany","Friday, 15 May 2020 - Sunday, 17 May 2020",Past Tango Marathon
Cork Tango Americano Weekend,"Cork, Ireland","Friday, 15 May 2020 - Sunday, 17 May 2020",Past Tango Weekend / Festivalito
4th Tango Unchained - Queen Of The North edition,"Veria, Greece","Thursday, 14 May 2020 - Sunday, 17 May 2020",Past Tango Festival
Adoracion Tango Marathon - Istanbul,"İstanbul, Turkey","Thursday, 14 May 2020 - Monday, 18 May 2020",Past Tango Marathon
Crown Jewel of Tango Festivalito Eleonora Kalganova friends,"Hallandale Beach, United States","Thursday, 14 May 2020 - Sunday, 17 May 2020",Past Tango Weekend / Festivalito
STRETCH TANGO,"Zagreb, Croatia","Tuesday, 12 May 2020 - Thursday, 04 June 2020",Past Tango Seminar / Workshops
Las Parejas Tango Marathon,"Larissa, Greece","Friday, 08 May 2020 - Sunday, 10 May 2020",Past Tango Marathon
"Kipish Odessa, 7th - 11th of May 2020","Odesa, Ukraine","Thursday, 07 May 2020 - Monday, 11 May 2020",Past Tango Festival
Abrazo Tango Metz Festival - edition 5,"Metz, France","Thursday, 07 May 2020 - Sunday, 10 May 2020",Past Tango Festival
COSTA DORADA SPA TANGO,"Platja de la Pineda, Spain","Thursday, 07 May 2020 - Sunday, 10 May 2020",Past Tango Weekend / Festivalito
BORDEAUX CITE TANGO FESTIVAL,"Bordeaux, France","Tuesday, 05 May 2020 - Sunday, 10 May 2020",Past Tango Festival
Belgrade Tango Encuentro 2020 Festival Marathon,"Beograd, Serbia","Tuesday, 05 May 2020 - Monday, 11 May 2020",Past Tango Festival
1er MARATON TANGO DONOSTIA,"Donostia, Spain","Friday, 01 May 2020 - Sunday, 03 May 2020",Past Tango Marathon
Bergen Tango Marathon 12th edition,"Bergen, Norway","Friday, 01 May 2020 - Sunday, 03 May 2020",Past Tango Marathon
Krakus Aires Tango Festival,"Kraków, Poland","Thursday, 30 April 2020 - Monday, 04 May 2020",Past Tango Festival
Baltic Tango Cup and Festival,"Riga, Latvia","Thursday, 30 April 2020 - Monday, 04 May 2020",Past Tango Festival
5th Anniversary Limassol Souvlaki Tango Marathon,"Limassol, Cyprus","Thursday, 30 April 2020 - Tuesday, 05 May 2020",Past Tango Marathon
Los Elegidos Tango Marathon,"Boğazkent, Turkey","Thursday, 30 April 2020 - Monday, 04 May 2020",Past Tango Marathon
