title,location,date,event_type
" El Greco Tango Festival - Marathon,Crete island, Greece","Iraklio, Greece","Friday, 02 October 2020 - Sunday, 04 October 2020",Past Tango Festival
 International Tango Championship Paris,"Levallois-Perret, France","Friday, 02 October 2020 - Sunday, 04 October 2020",Past Tango Festival
 20th Maracuentro - Tango Marathon with Love - Berlin Vinyl,"Berlin, Germany","Friday, 02 October 2020 - Sunday, 04 October 2020",Past Tango Marathon
" DARSENA MILANO TANGO MARATHON - Milano, Italy","Milan, Italy","Friday, 02 October 2020 - Sunday, 04 October 2020",Past Tango Marathon
 Ojos Negros Tango Weekend - 3rd Edition,"Stepantsminda, Georgia","Friday, 02 October 2020 - Sunday, 04 October 2020",Past Tango Marathon
 CircuiTO Milonguero - Long Tango Weekend in Torino,"Torino, Italy","Friday, 02 October 2020 - Sunday, 04 October 2020",Past Tango Weekend / Festivalito
 Toronto Tango Experience 2020,"Toronto, Canada","Thursday, 01 October 2020 - Sunday, 04 October 2020",Past Tango Festival
 Marrakech Tango Festival - 2nd Edition,"Marrakesh, Morocco","Thursday, 01 October 2020 - Sunday, 04 October 2020",Past Tango Festival
 Benidorm Tango Festival and  Marathon,"Benidorm, Spain","Thursday, 01 October 2020 - Sunday, 04 October 2020",Past Tango Festival
 Tango Holiday and Hungarian Cuisine. Let's dance again,"Budapest, Hungary","Wednesday, 30 September 2020 - Monday, 05 October 2020",Past Uncategorised Tango Event
 Dobro jutro uz Jelenu i tango - online,"Zagreb, Croatia","Monday, 28 September 2020 - Tuesday, 29 September 2020",Past Uncategorised Tango Event
 Follower's seminar Tango Argentino,"Zagreb, Croatia","Saturday, 26 September 2020 - Saturday, 17 October 2020",Past Tango Seminar / Workshops
 Marejada milonguera,"Marina di Pisa-tirrenia-calambr, Italy","Friday, 25 September 2020 - Sunday, 27 September 2020",Past Tango Encuentro
 Tango Argentino radionice i praktika,"Zagreb, Croatia","Friday, 25 September 2020 - Friday, 16 October 2020",Past Tango Seminar / Workshops
 CULLERA -reloaded- Tango Festival 2020 - CANCELLED,"Cullera, Spain","Thursday, 24 September 2020 - Sunday, 27 September 2020",Past Tango Festival
 Boston Tango Marathon -BOSthon,"Boston, United States","Thursday, 24 September 2020 - Monday, 28 September 2020",Past Tango Marathon
 Forestango Retreat,"Supienie, Poland","Thursday, 24 September 2020 - Sunday, 27 September 2020",Past Uncategorised Tango Event
 Elba Milonguera,"Scaglieri, Italy","Friday, 18 September 2020 - Sunday, 20 September 2020",Past Tango Encuentro
 OSLOve Tango,"Oslo, Norway","Thursday, 17 September 2020 - Sunday, 20 September 2020",Past Tango Weekend / Festivalito
" Predsrednji i srednji stupanj, tango argentino - srijedom","Zagreb, Croatia","Wednesday, 16 September 2020 - Wednesday, 07 October 2020",Past Tango Seminar / Workshops
 Upisi na pocetni tecaj argentinskog tanga uz POPUSTe,"Zagreb, Croatia","Monday, 14 September 2020 - Monday, 05 October 2020",Past Tango Seminar / Workshops
 Pocetni tecaj tango argentina u Zagrebu,"Zagreb, Croatia","Monday, 14 September 2020 - Monday, 05 October 2020",Past Tango Seminar / Workshops
