first_dancer,second_dancer
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
"""Chicho"" Frumboli",Juana Sepulveda
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Maja Petrović,Marko Miljević
Daniel Carlsson,Sigrid van
CARLITOS ESPINOZA,NOELIA HURTADO
CARLITOS ESPINOZA,NOELIA HURTADO
for Man,Woman |
for Men,Women |
of Embrace,Changes of
with Giros,Multiple Accelerations
Immersion Giros,Turns 2
with Giros,Multiple Accelerations
Seminar Giros,Turns -
Sacadas,Giros |
Dynamic Turns,Double Time
Giros,Back Ochos
"Hour ""Soñar","nada más"""
Basic Giro,Pivots with
"Weight, Giros",Turns with
with crosses,double-time |
Giros,Sacadas |
"""Sacadas, Pivots","More!"" |"
Vals Turns,Rebounds |
Immersion Colgadas,Volcadas 6
Vals Musicality,Changes of
with Rebounds,Pivots |
Forward Ochos,Sacadas for
Seminar Rhythm,Melody 1
with Giros,Multiple Accelerations
of elements,combinations |
with Lápiz,Planeo |
Turns,Embrace |
with Ganchos,Enganches |
with Sacadas,Different Rhythmic
"2017 ""Lágrimas","sonrisas"" Biagi"
Review Giros,Turns |
"sacadas, enrosque",cuarta sacada
Seminar Pivots,Boleos 1
IMMERSION Colgadas,Volcadas 1
"- ""Lágrimas","sonrisas"" Orq."
"Back, Cuarta",Other Sacadas
Turns,Sacadas |
Forward Boleos,Gancho |
"Rhythm, Melody",Adornos |
with Lápices,Enrosques |
| Sebastian,"Mariana, Michelle"
Seminar Rhythm,Melody 2
of Embrace,Dynamic |
Simple Steps,Changes of
IMMERSION Colgadas,Volcadas 2
Musicality,Improvisation with
Pivots,Giros with
"3 ""Amor","vals"" Solo"
Immersion Colgadas,Volcadas 4
"- ""Lágrimas","sonrisas"" -"
"- ""Soñar","nada más"""
Seminar Pivots,Boleos 2
of Dynamic,"Rhythm: Caminata,"
Vals Giros,Rhythmic Patterns
Yesica Esquivel,Ariel Leguizamon
with Lápiz,Boleo |
"Turns, Rhythm",Phrasing |
with Planeos,Adornos in
Enrosques,Turns |
Rhythmic Variations,Decorations |
Boleos,Ganchos |
Immersion Giros,Turns 1
Gancho,Boleo Combinations
"Pivots, Sacadas",Back Sacadas
with Lápices,Enrosques |
Immersion Colgadas,Volcadas 5
"Flow, Accents",Phrases in
Forward Ochos,Pivots with
Immersion Colgadas,Volcadas 3
"Phrasing, Turns",Rhythm |
Osvaldo,Coca en
"Turns, Colgadita",Volcadita |
29 (Back,front ochos)
Pajaro Riemer,Maria Belen
Stefanía Colina,Juan Martín
Esteban Moreno,Milena Plebs
Eugenia Parrilla,"Ezequiel Farfaro,"
Irina Miroshnichenko,"Jorge Talquenca,"
ARIEL ARDIT,"SOLO TANGO,"
Rocío Lequio,Bruno Tombari
Pelin,"Miguel Calvo,"
Ismael Ludman,"Maria Mondino,"
Mert Moran,Beliz Zorlu
Santiago Castro,"Maria Smirnova,"
Ruben,"Sabrina Veliz,"
Junior Cervila,"Guadalupe Garcia,"
Claudio Forte,"Barbara Carpino,"
Vladimir Khorev,"Sabrina Tonelli,"
Giggio Giovanni,"Anna Zyuzina,"
Sergey Kurkatov,"Ylia Burenicheva,"
Dmitry Muksinov,"Elena Shtickaya,"
Dmitry Astafiev,"Elena Tarasova,"
Roman Konyshev,"Cynthia Urbano,"
Aydin Kocamusaoglu,"Pelin Koyun,"
Anastasia Pomogaeva,"Anton Griev,"
Anastasia Pomogaeva,"Dmitry Mayorov,"
Pajaro Riemer,Maria Belen
Anastzazia Izvekova,"Ivan Nabokin,"
Pedro Farias,"Julieta Falivene,"
Oleg Okunev,"Elena Sidorova,"
Aoniken Quiroga,"Alejandra Mantinan,"
Vladimir Vereschagin,Ekaterina Koptelova
Tamara Biseglia,"Federico Paleo,"
Ozgur Demir,"Mila Vigdorova,"
Christian Sosa,Maria Noel
Tamara Biseglia,"Federico Paleo,"
Artem Mayorov,"Julia Osina,"
Analia Vega,"Marcelo Varela,"
Kari Dalu,Fernando Romero
Roman Konyshev,"Anna Zyuzina,"
Yury Alexeev,"Elena Chuvilina,"
Flaco Dany,"Anna Zyuzina,"
Giggio Giovanni,Dana Jazmin
Stanislav Fursov,"Katy Simonova,"
Alexander Cherenkov,"Juliet Pachevska,"
Vlad Chernyakov,"Ekaterina Koptelova,"
Sabrina,"Ruben Veliz,"
Stanislav Bekker,"Ekaterina Syrtsova,"
Alexander Frolov,"Maria Frolova,"
Juan Fosatti,"Gimena Aramburu,"
Batista Aleman,"Sonia Cantero,"
José García,sus Zorros
Leonid Martynovsky,"Elena Grinenvald,"
Rodrigo Fonti,"Yamila Ivonne,"
Kemal Özkan,Züleyha Özkan
Orlando Farias,Natalia Lind
Eduardo Capussi,Mariana Flores
Michael Nadtochi,"Eleanora Kalganova,"
Carlos Gavito,Maria Plazaola
Geronimo Dorkas,"Josefina Stellato,"
Omar Quiroga,"Veronica Palacios,"
Roberto Reis,"Natalia Lavandeira,"
Giggio Giovanni,"Anna Zyuzina,"
Serkan Gokcesu,"Cecilia Garcia,"
Vladimir Makhalov,"Ekaterina Koptelova,"
Anna Zyuzina,"Gustavo Funes,"
Hany Hadaya,Bryndís Halldórsdóttir
Diego Riemer,Maria Belén
Giggio Giovanni,"Vera Gogoleva,"
Oscar Busso,"Olesya Grigoreva,"
Anton Sokoltchik,"Irina Tredler,"
Sebastian Posadas,"Eugenia Eberhardt,"
Gustavo Naveira,"Giselle Anne,"
Aleksey Salienko,"Ekaterina Nazarova,"
Mila Vigdorova,"Luis Squicciarini,"
Rocío Lequio,Bruno Tombari
Roberto Reis,"Natalia Lavandeira,"
Walter Suquia,"Ayelen Sanchez,"
Claudio Forte,"Barbara Carpino,"
Sebastian Misse,"Andrea Reyero,"
Jonny Lambert,"Virginia Vasconi,"
Vladimir Makhalov,"Cecilia Piccinni,"
Orlando Farias,Natalia Lind
Semeon Kukormin,Matvey Gotlib
Julio Saavedra,"Irina Miroshnichenko,"
Lyudmila Shumaeva,"Timofey Borisov,"
Ekaterina Nazarova,Aleksey Salienko
Batista Aleman,"Sonya Cantero,"
Timofey Borisov,"Irina Babarikina,"
Hernán Leone,"Valentina Ustinova,"
Vladimir Vereschagin,"Natalia Molokova,"
Junior Cervila,Guadalupe Garcia
Lucila Cionci,Rodrigo 'joe'
Alexander Desyatov,"Maria Makarenko,"
Sergey Kurkatov,"Ylia Burenicheva,"
Rodrigo Fonti,"MilaGrosa Vigdorova,"
De Dominicis,"Helga Corpora,"
Vlada Zakharova,"Andrey Makarov,"
Vlada Zakharova,"Andrey Makarov,"
Sebastian Posadas,"Eugenia Eberhardt,"
Enrique,Noralí -
Marcelo Gutierrez,"Johana Cessiecq,"
Roberto Reis,"Natalia Lavandeira,"
Alejandro BERON,"Veronica VAZQUEZ,"
Hernán Saucedo,"Anastasia Makarova,"
Alexander Prischepov,"Karina Adzhimyan,"
Javier Rodriguez,"Virginia Pandolfi,"
Barbara CARPINO,Claudio Forte
Selim Yuna,Melin Levent
Roman Gladkov,Nadezhda Shilova
Nelson Pinto,"Isabel Costa,"
Claudio Coppola,"Аnna Zyuzina,"
Sergey,"Tatiana Statsenko,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Hernan Che,"Ekaterina Koptelova,"
Mila Vigdorova,"Rodrigo Fonti,"
Martin Maldonado,"Maurizio Ghella,"
Silvio Grand,"Mayra Galante,"
Roman Konyshev,"Viktoria Lizunova,"
Roberto Zuccarino,"Magdalena Valdez,"
Andrew Prokopov,"Olga Dunaeva,"
Alexander Prischepov,"Irina Ostroumova,"
Veronica Palacios,"Omar Quiroga,"
orchestra Misteriozo,"All Maestros,"
Andrey Boev,"Irina Ditkovskaya,"
Dmitry Kuznetsov,"Olga Nikolaeva,"
Santiago Castro,"Maria Smirnova,"
Carolina Bonaventura,"Francisco Forquera,"
Vivian Yeh,Leandro Nicolas
Hernán Saucedo,"Anastasia Makarova,"
Facundo Gallo,"Anna Zyuzina,"
Laza Moreno,"Eladia Cordoba,"
Giggio Giovanni,Anna Zyuzina
Murat Elmadağlı,"Özge Atalay,"
Stanislav Bekker,"Ekaterina Syrtsova,"
Vladimir Makhalov,Sofiya Seminskaya
Alexander Krupnikov,"Ekaterina Lebedeva,"
Pablo Canavire,"Sara Westin,"
Marite Lujan,"Frank Rossi,"
Carlos Pérez,"Rosa Forte,"
Dmitry Astafiev,"Elena Tarasova,"
Flora Benedetti,Gonzalo Risso
Ricardo Calvo,"Sandra Messina,"
Roman Konyshev,"Viktoria Lizunova,"
Loukas BALOKAS,"Georgia PRISKOU,"
Marce Herlan,"Yana Nikolayuk,"
Benjamín Rojas,"Bárbara Astudillo,"
Anna Zyuzina,"Demian Fontenla,"
Ruben,"Sabrina Veliz,"
Natalia Petrova,"Eloy Prim,"
De Dominicis,"Helga Corpora,"
Slava Ivanov,"Olga Leonova,"
Sergiy Podbolotnyy,"Elena Sergienko,"
Sergey Statsenko,"Anna Zyuzina,"
Omar Caceras,"Vidala Barboza,"
El Pajaro,Belén 03-
Carlos Espinoza,"Noelia Hurtado,"
Tamara Biseglia,"Federico Paleo,"
Pelin,Miguel Calvo
Sedef Oge,Izzet Kaston
Roman Konyshev,"Julia Yukhina,"
Artem Mayorov,"Julia Osina,"
Orlando Farias,Natalia Lind
Fabian Peralta,Lorena Ermocida
Ismael Ludman,"Maria Mondino,"
Dmitry Astafiev,"Irina Ponomareva,"
Angelina Zubko,"Rony Joël,"
Oleg Okunev,Elena Sidorova
Pablo Canavire,Dana Jazmin
Adrian Ferreyra,"Elvira Malishevskaya,"
Vladislav Sopikov,"Ekaterina Sopikova,"
Hernán Saucedo,"Anastasia Makarova,"
Stanislav Fursov,"Katy Simonova,"
Maureen,Carlos Urrego
Sofiya Seminskaya,"Norair Arakelyan,"
Dmitry Astafiev,"Katerina Zak,"
Vladimir Makhalov,Sofiya Seminskaya
Vlad Chernyakov,"Ksenia Chichaeva,"
Maricel Giacomini,"Bruno Gibertoni,"
Milonga Porteño,"Bailarin, tango"
"""Joe"" Corbata","Lucila Cionci,"
Tomas Galvan,"Gimena Herrera,"
Aleksey Salienko,"Ekaterina Nazarova,"
Slava Ivanov,"Olga Leonova,"
Manuel Rosales,"Liza Lebedeva,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Dmitry Astafiev,"Irina Ponomareva,"
Doruk Coskun,Elif Burcu
Cigdem Camgoz,Onur Kıra
Leandro Oliver,"Laila Rezk,"
Sergey Belyankin,"Elena Sizyk,"
Hernan Che,"Kaisa Saarinen,"
Francisco Forquera,"Manuela Rivero,"
Alejandra Mantinan,"Aoniken Quiroga,"
Marco Gonzalez,"Valeria Gonzalez,"
Vlada Zakharova,"Andrey Makarov,"
Julian Sanchez,"Melina Mouriño,"
Santiago Castro,"Maria Smirnova,"
Laza Moreno,"Luciana Arregui,"
Alexander Prischepov,"Malena, Prischepov"
Pebete Godoy,"Cecilia Berra,"
Mario Durand,Tango orchestra
Giggio Giovanni,"Anna Zyuzina,"
Henriquez Bravo,"Ekaterina Koptelova,"
Anastazia Izvekova,"Ivan Nabokin,"
Raúl Navalpotro,Kseniya Chichaeva
Javier Rodriguez,Andrea Missé
Vlada Zakharova,"Andrey Makarov,"
Frolov Alexandr,"Mariia Frolova,"
Manuel Rosales,"Liza Rosales,"
Ekaterina Koptelova,"Gustavo Funes,"
Ekaterina Nazarova,"Aleksey Salienko,"
Nicolas Crededio,"AlekSandra Stadnik,"
Esteban Cortez,"Evelyn Rivera,"
Benjamín Rojas,"Bárbara Astudillo,"
Alejandra Mantinan,"Anton Starcev,"
El Pajaro,Belén -
Anastzazia Izvekova,Ivan Nabokin
Analia Carreño,"Luis Ramirez,"
Sebastian Posadas,Eugenia Eberhardt
Sabrina,Ruben Veliz
Slava Ivanov,"Olga Leonova,"
Irina Ostroumova,"Aleksandr Yakushev,"
Alexander Frolov,"Maria Frolova,"
Vladimir Gusev,"Elena Klimova,"
Sabrina,"Ruben Veliz,"
Pajaro Riemer,Maria Belen
Marisol Martinez,Solo Tango
Tamara Biseglia,"Federico Paleo,"
Eduardo Capussi,Mariana Flores
Anastzazia Izvekova,"Ivan Nabokin,"
Alejandra Mantinan,"Leandro Palou,"
Kay Lee,Karen HaeJung
Utku Küley,İris Basak
Germán Cuestas,"Eva Lehrmann,"
Omar Quiroga,"Veronica Palacios,"
Giggio Giovanni,"Anna Zyuzina,"
Giggio Giovanni,"Yanina Radzishevskaya,"
Orlando Farias,Natalia Lind
Ruslan Takhirov,"Natalia Atepaeva,"
Demián García,"Anna Pestryakova,"
Vyacheslav Ivanov,"Olga Leonova,"
Javier Rodriguez,Andrea Missé
Sebastian Ripoll,"Mariana Bojanich,"
David Burt,Mila Vigdorova
Stanislav Fursov,"Ekaterina Simonova,"
Stanislav Fursov,"Katy Simonova,"
Adrian Ferreyra,"Elvira Malishevskaya,"
Vlada Zakharova,"Andrey Makarov,"
Sergey,"Aniko Sohnenko,"
Raquel Greenberg,"Alexander Frolov,"
Juan Capriotti,"Graciana Romeo,"
ARIEL ARDIT,"SOLO TANGO,"
Giggio Giovanni,"Polina Barsukova,"
Rodion Khramutichev,"Irina Petrichenko,"
Hernán Saucedo,"Anastasia Makarova,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Marco Gonzalez,"Valeria Gonzalez,"
Julia Bereznikova,"Mihai Georgescu,"
Kirill Parshakov,"Anna Gudyno,"
Marcelo Tebele,"Irina Miroshnichenko,"
Serkan Goksecu,"Cecilia Garcia,"
Manuel Rosales,"Elena Domashevskaya,"
Leandro Oliver,"Laila Rezk,"
Valeria Quiñones,Neri Luciano
Marco Gonzalez,"Valeria Gonzalez,"
teaches tango,nada mas
Manuel Rosales,"Liza Lebedeva,"
Pablo Rodríguez,Natasha Lewinger
Pablito Greco,"Calliope Peratinou,"
Betsabet Flores,"Jonatan Spitel,"
Sabrina,"Ruben Veliz,"
Lyudmila Shumaeva,"Timofey Borisov,"
Analia Vega,Marcelo Varela
Vlada Zakharova,"Andrey Makarov,"
Utku Kuley,"Setenay Ersoy,"
Alan Tsagolov,"Daria Tsagolova,"
Gaston Godoy,"Laura Atienza,"
Utku Küley,İris Basak
Gavito,"Geraldine, Prischepov"
Hernan Che,"Kaisa Saarinen,"
Sabrina,"Ruben Veliz,"
Hernán Saucedo,"Anastasia Makarova,"
Julio Saavedra,"Irina Miroshnichenko,"
Dmitry Kuznetsov,"Olga Nikolaeva,"
Vlad Chernyakov,"Ksenia Chichaeva,"
Demian Garcia,Fatima Vitale
Cristhian Sosa,Maria Noel
Dmitry Astafiev,"Irina Ponomareva,"
Jorge García,"Susana Soar,"
Pablo Inza,Yamila Ivonne
Manuel Rosales,"Liza Rosales,"
Pajaro Riemer,Maria Belen
Fabian Salas,"Lola Diaz,"
Vladimir Khorev,"Sabrina Tonelli,"
Javier Rodriguez,Andrea Missé
Alper Ozdemir,"Setenay Ersoy,"
DE STIGTER,MIRJAM DIEDRICH
Omar Quiroga,"Veronica Palacios,"
Denis Basyuk,"Victoria Krivtsova,"
Fausto Carpino,"Veronika Toumanova,"
Maxim Izvekov,"Elena Kuznetsova,"
Jazmin Frigoli,Adrian Romeo
Vlada Zakharova,"Timofey Borisov,"
Alper Ozdemir,"Setenay Ersoy,"
Ekaterina Koptelova,"Gustavo Funes,"
Frank Obregón,"Jenny Gil,"
Vladimir Vereschagin,"Natalia Molokova,"
Pebete Godoy,"Cecilia Berra,"
Javier Rodriguez,"Virginia Pandolfi,"
Alexander Cherenkov,"Anna Pivovarova,"
Ekaterina Nazarova,Aleksey Salienko
Peque Barrionuevo,"Mariela Sametband,"
Julia Papilova,"Andrei Eremenko,"
Milena Plebs,"Lautaro Cancela,"
Alexander Cherenkov,"Kseniya Chichaeva,"
Vladimir Makhalov,"Cecilia Piccinni,"
Milena Plebs,"Lautaro Cancela,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Veronica Palacios,"Omar Quiroga,"
"M. Copello,","C. Correa,"
Giggio Giovanni,"Anna Zyuzina,"
CherdakYury Alexeev,"Elena Chuvilina,"
Alexander Prischepov,"Irina Miroshnichenko,"
Raul Garello,Su Orquesta
Leandro Palou,"Romina Godoy,"
Sabrina,"Ruben Veliz,"
Enzo Hoces,Aurore Chadoin
Ezequiel Paludi,Geraldin Rojas
Hernán Saucedo,"Anastasia Makarova,"
Alper Özdemir,Nadide Ece
Aydın KOCAMUSAOĞLU,"Pelin KOYUN,"
Vera Gogoleva,"Frolov Alexander,"
Vladimir Vereschagin,"Natalia Molokova,"
Maxim Izvekov,"Elena Kuznetsova,"
ARIEL ARDIT,"SOLO TANGO,"
Mila Vigdorova,Daniel Raphael
"Uğur, Turkey","Mila Vigdorova,"
Yalçın Uğur,"Vera Gogoleva,"
Roman Mamaev,Sergey
Roman Konyshev,"Julia Yukhina,"
Maricel Giacomini,"Bruno Gibertoni,"
Virginia Pandolfi,"Jonathan Aguero,"
Carlos Espinoza,"Noelia Hurtado,"
Dmitry Muksinov,"Elena Shtickaya,"
Hernán Leone,"Valentina Ustinova,"
Vlada Zakharova,"Andrey Makarov,"
Vladislav Sopikov,"Ekaterina Sopikova,"
Giggio Giovanni,"Anna Zyuzina,"
Anna Tikhomirova,"Denis Petrovich,"
Lucila Cionci,Rodrigo 'joe'
Viktoria Lizunova,"friends, Moscow,"
ARIEL ARDIT,"SOLO TANGO,"
Alexander,"Anna Cherenkov,"
Mikmalin Andrei,"Alekseeva Tatiana,"
Christian Sosa,Maria Noel
Jose Vazquez,"Anna Yarigo,"
Giggio Giovanni,"Anna Zyuzina,"
Maxim Gerasimov,"Iana Plekhanova,"
Alejandro BERON,"Veronica VAZQUEZ,"
Milena Plebs,"Gustavo Rosas,"
Christian Marquez,"Milena Plebs,"
Mila Vigdorova,Gianpiero Galdi
Esteban Moreno,"Claudia Codega,"
Alexander Desyatov,"Maria Makarenko,"
Pedro Farias,"Julieta Falivene,"
Pablo Veron,Teresa Cunha
Milena Plebs,"Sergey Sokhnenko,"
Natalia Molokova,"Joel Rony,"
Mert Moran,Beliz Zorlu
Mario Durand,Tango orchestra
Paula Natoli,"Gustavo Rosas,"
Hany Hadaya,Bryndís Halldórsdóttir
Anastzazia Izvekova,"Ivan Nabokin,"
Omar Quiroga,"Veronica Palacios,"
Raquel Greenberg,"Alexander Frolov,"
Claudio Coppola,"Delphine Blanco,"
Mila Vigdorova,"Rodrigo Fonti,"
"Milongeando, Ruben","Sabrina Veliz,"
Junior Cervila,"Guadalupe Garcia,"
Vlada Zakharova,"Andrey Makarov,"
Vlada Zakharova,"Andrey Makarov,"
Roman Konyshev,"Viktoria Lizunova,"
"Pajaro"" Riemer",Natalia Cristobal
Rui Barroso,"Inês Gomes,"
Ozgur Demir,"Mila Vigdorova,"
Sergey,"Anyko Sokhnenko,"
Camila Fontán,"Matias Díaz,"
Aydın,Burçin Arslan
Lorena Gonzales,Gaston Camejo
Roman Konyshev,"Viktoria Lizunova,"
Alexey Roschektaev,"Irina Nekrasova,"
Alex Krupnikov,"Ekaterina Lebedeva,"
Artem Mayorov,"Julia Osina,"
Alexander Ignatov,"Kseniya Chichaeva,"
Alexander Vistgof,"Natalia Gorskih,"
Alexander Desyatov,"Maria Makarenko,"
Eugenia Parrilla,"Yanick Wyler,"
Gustavo Naveira,"Giselle Anne,"
Aydın KOCAMUSAOĞLU,Pelin KOYUN
Omar Quiroga,"Veronica Palacios,"
Alexander Ignatov,"Kseniya Chichaeva,"
Omar Caceras,"Vidala Barboza,"
Javier Rodriguez,"Virginia Pandolfi,"
Vlada Zakharova,"Andrey Makarov,"
Demian Garcia,"Fatima Vitale,"
Sergey Podbolotny,"Ping Yu,"
Serkan Gokcesu,"Cecilia Garcia,"
Odile,"Mool, 1-2,"
Julia Chekmareva,"Alexey Baranov,"
Rubén,"Sabrina Veliz,"
el cielo,tu
Hernan Che,"Kaisa Saarinen,"
Milena Plebs,"Lautaro Cancela,"
"Pajaro"" Riemer",Natalia Cristobal
Alexander Desyatov,"Maria Makarenko,"
Leonid Martynovsky,Elena Grinenvald
Gonzalo Robinson,"Sasha Trofimova,"
Alexander Prischepov,"Irina Ostroumova,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Stanislav Fursov,"Ekaterina Simonova,"
Stefanía Colina,Juan Martín
Frolov Alexandr,"Mariia Frolova,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Alexander Desyatov,"Maria Makarenko,"
Alexander Ignatov,"Kseniya Chichaeva,"
Mironenko Alexsey,"Valova Kristina,"
Vladimir Makhalov,Mila Vigdorova
Sebastian Ripoll,"Mariana Bojanich,"
Alexander Desyatov,"Maria Makarenko,"
Alexandr Frolov,"Maria Frolova,"
Sabrina,"Ruben Veliz,"
Dmitry Kuznetsov,"Olga Nikolaeva,"
Damian Mechura,"Anastasia Mikhaylova,"
Dmitry Astafiev,"Irina Ponomareva,"
Anton Volkov,"Polina Barsukova,"
Nana Khocholava,"Dmitry Mayorov,"
Omar Quiroga,"Veronica Palacios,"
Hernan Che,"Kaisa Saarinen,"
Stanislav Fursov,"Katy Simonova,"
Vyacheslav Ivanov,"Olga Leonova,"
Vlad Chernyakov,"Ksenia Chichaeva,"
De Dominicis,"Helga Corpora,"
Aoniken Quiroga,"Noelia Barsi,"
Juan Alba,"Mariana Soler,"
Alejandra Mantinan,"Aoniken Quiroga,"
Clarisa Aragón,"Jonathan Saavedra,"
Damian Mechura,"Elizaveta Tavrovskaya,"
Tu Amor,Mi Amor
MURAT ELMADAGLI,VERA GOGOLEVA
Mariana Flores,"Eduardo Cappussi,"
Luibov Boiko,"Olga Razumova,"
Marcelo Tebele,"Irina Miroshnichenko,"
Yasmin Ventura,Tango en
Dominic Bridge,"Ekaterina Koptelova,"
Javier Rodriguez,Andrea Missé
Fariz Mamedov,"Ekaterina Korneeva,"
Sofiya Seminskaya,"Norair Arakelyan,"
Raquel Greenberg,"Alexander Frolov,"
Murat Elmadağlı,"Özge Atalay,"
Hasan Gogani,"Kivilcim Tezin,"
Fabian Peralta,Lorena Ermocida
Anton Klimat,ronda maestros
Utku Küley,Iris Başak
Anna Zyuzina,"Gustavo Funes,"
Irina Samoilova,Artyom Lucchin
Roman Konyshev,"Cynthia Urbano,"
Stefanía Colina,Juan Martín
«Boleo,Variations» Free
Olga Yaremenko,"Evgeniy Tarasov,"
Maxim Izvekov,Elena Kuznetsova
Juan Fosatti,"Gimena Aramburu,"
Eduardo Capussi,Mariana Flores
Leandro Oliver,"Laila Rezk,"
Roman Konyshev,"Elizaveta Shkulanova,"
Hernan Che,Kaisa Saarinen
Fernando Galera,"Vilma Vega,"
VITO RAFFANELLI,"GIORGIA ROSELLO,"
Giggio Giovanni,"Anna Zyuzina,"
Esteban Moreno,"Claudia Codega,"
Ekaterina Koptelova,"Rodion Khramutichev,"
Mila Vigdorova,"Andres Amarilla,"
Yalçın Uğur,"Vera Gogoleva,"
Ekaterina Nazarova,"Aleksey Salienko,"
Maxi Copello,Raquel Makow
Romina Godoy,"Demian Garcia,"
Ruslan Takhirov,"Natalia Atepaeva,"
Alexander Desyatov,"Maria Makarenko,"
Vyacheslav Ivanov,"Olga Leonova,"
Giggio Giovanni,"Anna Zyuzina,"
Sergey,"Anyko Sokhnenko,"
Barbara CARPINO,"Claudio FORTE,"
Jesus Lopez,Camila Alegre
Alexander Frolov,"Maria Frolova,"
Simeon Kukormin,"Anna Nikonorova,"
Bien Porteña,"Friends, Moscow,"
Carlos,"Maria Rivarola,"
Matthias Morin,"Delphine Blanco,"
Claudio Forte,"Barbara Carpino,"
Alexis Quezada,"Celine Giordano,"
Anastasia Pomogaeva,Dmitry Mayorov
Geronimo Dorkas,"Josefina Stellato,"
Fabian Salas,"Lola Diaz,"
Anastasia Izvekova,"Ivan Tarkhanov,"
Anastzazia Izvekova,"Ivan Nabokin,"
Pablo Canavire,"Sara Westin,"
Diego Riemer,Maria Belén
Claudio Forte,"Barbara Carpino,"
Camila Fontán,"Matias Díaz,"
Alexandr Frolov,"Maria Frolova,"
Serkan Goksecu,"Cecilia Garcia,"
Alexander Prischepov,"Yanina Radzishevskaya,"
Fausto Carpino,"Veronika Toumanova,"
Giggio Giovanni,"Anna Zyuzina,"
Omar Caceras,"Vidala Barboza,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Stanislav Fursov,"Ekaterina Simonova,"
Giggio Giovanni,"Anna Zyuzina,"
Alejandro BERON,"Veronica VAZQUEZ,"
Giggio Giovanni,"Anna Zyuzina,"
Roberto Zuccarino,"Magdalena Valdez,"
"Pajaro"" Riemer",Natalia Cristobal
Oscar Montenegro,"Irina Miroshnichenko,"
Sergey,"Anyko Sokhnenko,"
Alexander Prischepov,"Olga Plakhova,"
Cristhian Sosa,Maria Noel
Judita Zapatero,"Faustino Blanco,"
Slava Ivanov,"Olga Leonova,"
Sergey,"Tatiana Statsenko,"
Vlada Zacharova,Jean Sebastien
Ruben,"Sabrina Veliz,"
Alejandra Mantinian,"Aoniken Quiroga,"
Mila Vigdorova,Rodrigo Fonti
Chino Laborde,Solo Tango
Giggio Giovanni,"Anna Zyuzina,"
Aoniken Quiroga,"Alejandra Mantinan,"
Pablo Canavire,"Sara Westin,"
Jose Almar,"Irina Petrichenko,"
Roman Konyshev,"Laísa Souza,"
El Feo,Vikings
Alexander Desyatov,"Maria Makarenko,"
Sebastian Misse,"Milena Plebs,"
Alexander Krupnikov,"Ekaterina Lebedeva,"
Roman Konyshev,"Anna Zyuzina,"
Yury Alexeev,"Elena Chuvilina,"
Virginia Pandolfi,"Jonathan Aguero,"
Alejandra Mantinan,"Anton Starcev,"
Sofiya Seminskaya,"Norair Arakelyan,"
Alex Krupnikov,"Ekaterina Lebedeva,"
Marite Lujan,"Frank Rossi,"
Anastasia Makarova,Rodrigo Hernán
Oscar,"Nina, Argentina"
Esteban Moreno,"Claudia Codega,"
Ylia Burenicheva,"Sergey Kurkatov,"
Pablo Canavire,"Sara Westin,"
Clarisa Aragón,Jonathan Saavedra
Artem Mayorov,"Julia Osina,"
Henriquez Bravo,"Ekaterina Koptelova,"
Giggio Giovanni,"Anna Zyuzina,"
Turquito Demir,"Anna Zyuzina,"
Geraldin Rojas,Ezequiel Paludi
Sergey,"Anna Sokhnenko,"
Batista Aleman,"Sonia Cantero,"
Metin Yazir,"Jak Karako,"
Andres Silva,"Milena Odzeri,"
Lucila Cionci,Rodrigo 'joe'
