DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,
1944-02-29,Alfredo DE ANGELIS,Bajo el cono azul,Floreal Ruiz y Nestor Rodi,TANGO,Alfredo De Angelis,Carmelo Volpe,ANGELIS,
1944-02-29,Alfredo DE ANGELIS,Ya sé que siguen hablando,Julio Martel,TANGO,Héctor Palacios,Iván Diez,ANGELIS,
1944-04-28,Alfredo DE ANGELIS,Cero al as,Floreal Ruiz,TANGO,Arturo Gallucci,Francisco Bohigas,ANGELIS,
1944-04-28,Alfredo DE ANGELIS,Mi novia de ayer,Floreal Ruiz,VALS,Arturo Gallucci,José Barreiros Bazán,ANGELIS,
1944-06-03,Alfredo DE ANGELIS,La cumparsita,Nestor Rodi,TANGO,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,ANGELIS,
1944-06-03,Alfredo DE ANGELIS,Madre,Floreal Ruiz,TANGO,Francisco Pracánico,Verminio Servetto,ANGELIS,
1944-07-31,Alfredo DE ANGELIS,De igual a igual,Julio Martel,TANGO,Rodolfo Sciammarella,Rodolfo Sciammarella,ANGELIS,
1944-07-31,Alfredo DE ANGELIS,La guitarrera,Floreal Ruiz,MILONGA,Francisco Brancatti,Rafael Dadino,ANGELIS,
1944-08-29,Alfredo DE ANGELIS,El tropero del amor,Carlos Dante,TANGO,Teófilo Lespés,Yaraví,ANGELIS,
1944-08-29,Alfredo DE ANGELIS,Soñar y nada mas,Carlos Dante y Julio Martel,VALS,Francisco Canaro,Ivo Pelay,ANGELIS,
1944-10-10,Alfredo DE ANGELIS,Campanita,Julio Martel,TANGO,Juan Polito,Salvador Polito,ANGELIS,
1944-10-10,Alfredo DE ANGELIS,Melenita de oro,Carlos Dante,TANGO,Carlos Vicente Geroni Flores,Samuel Linnig,ANGELIS,
1944-11-23,Alfredo DE ANGELIS,Cruz de palo,Carlos Dante,TANGO,Guillermo Barbieri,Enrique Cadícamo,ANGELIS,
1944-11-23,Alfredo DE ANGELIS,Parece un cuento,Julio Martel,TANGO,Lalo Etchegoncelay,José Rótulo,ANGELIS,
1944-11-27,Alfredo DE ANGELIS,El vals de nochebuena,Carlos Dante,VALS,?,?,ANGELIS,
1944-12-18,Alfredo DE ANGELIS,Va llegando gente al baile,Julio Martel,TANGO,Félix Lipesker,Lito Bayardo,ANGELIS,
1945-01-09,Alfredo DE ANGELIS,El pial,,TANGO,?,?,ANGELIS,
1945-01-09,Alfredo DE ANGELIS,La mañana,Julio Martel,MILONGA,Miguel Bucino,Miguel Bucino,ANGELIS,
1945-01-09,Alfredo DE ANGELIS,Nieve de amor,Carlos Dante,TANGO,Alberto Talián y Eduardo Talián,Horacio Sanguinetti,ANGELIS,
1945-01-09,Alfredo DE ANGELIS,No me importa su amor,Carlos Dante,TANGO,José Dames,Enrique Cadícamo,ANGELIS,
1945-03-26,Alfredo DE ANGELIS,Cuando tú me quieras,Carlos Dante,TANGO,Julio Pollero y Agesilao Ferrazzano,Francisco Bohigas,ANGELIS,
1945-03-26,Alfredo DE ANGELIS,Pregonera,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,
1945-05-04,Alfredo DE ANGELIS,Acordes porteños,Julio Martel,TANGO,?,?,ANGELIS,
1945-05-04,Alfredo DE ANGELIS,Ya estamos iguales,Carlos Dante,TANGO,Anselmo Aieta,Francisco García Jiménez,ANGELIS,
1945-06-08,Alfredo DE ANGELIS,Altar sin luz,Julio Martel,TANGO,Guillermo Vilar,Iván Diez,ANGELIS,
1945-06-08,Alfredo DE ANGELIS,Ilusión azul,Carlos Dante,VALS,Arquímedes Arci,Arquímedes Arci,ANGELIS,
1945-07-17,Alfredo DE ANGELIS,No no me abandones,Julio Martel,TANGO,Héctor Grané,Justo Ricardo Thompson,ANGELIS,
1945-07-17,Alfredo DE ANGELIS,Un tango y nada mas,Julio Martel,TANGO,Armando Lacava y Juan Pomati,Carlos Waiss,ANGELIS,
1945-08-10,Alfredo DE ANGELIS,Por eso grito,Julio Martel,TANGO,Edgardo Donato,César Córdoba,ANGELIS,
1945-08-31,Alfredo DE ANGELIS,Vieja luna,Carlos Dante,TANGO,Arturo Gallucci,Celedonio Flores,ANGELIS,
1945-09-11,Alfredo DE ANGELIS,Rendido,Julio Martel,TANGO,Alfredo Cordisco,Alberto Leiva,ANGELIS,
