"id","slug","title","description","channel_title","channel_id","video_count","imported","videos_id","user_id","created_at","updated_at"
84,"PLzIaRThVDhSETPw7xKEYM2BR2U2M3Ws9p","Tango steps/workshops","","ianicius","UC9I6JzUGtMBAJlp2FT33pag","15",TRUE,,,"2021-01-25 22:07:13.353694","2021-01-25 22:38:22.248461"
85,"PLx2IS8ygoOFccUMdtnfyBmdWThH6bHGp-","Very Good tango demo and instruction","","Muhammad Abdullah","UCFRQYUhv3jBVDOEbQRKq0rA","17",TRUE,,,"2021-01-25 22:07:13.367858","2021-01-25 22:43:29.002483"
86,"PLA690E9FE6BCAD022","Tango 2","","fujimaytan","UCC4EoAc6GDtqAGgbh8ErMnQ","9",TRUE,,,"2021-01-25 22:07:13.375015","2021-01-25 22:29:28.392533"
87,"PL2DFC3A83F6D0CA48","Tango dance","","Sébastien Gouiran","UCfh13hyfYkrtDKpowEudP6A","12",TRUE,,,"2021-01-25 22:07:13.383164","2021-01-25 22:38:24.484874"
88,"PLD36FCAE46812D75A","Tango","tango examples","DanceEclecticPdx","UCuOEAmEhxbluzezLtVi_Yng","15",TRUE,,,"2021-01-25 22:07:13.392145","2021-01-25 22:29:29.48132"
89,"PL921BD7150C4B2B55","Lectii tango","","Codrina Stoianov","UCjMouSVrDoeEsVoioml0Evg","6",TRUE,,,"2021-01-25 22:07:13.401088","2021-01-25 22:38:25.709493"
90,"PLzujYRVLaRbLPrvEFm6r_Z3w0sFvxmPej","Tango Performances","","Jan Tzuo","UCe_KSLsgFz6o7Q3dKDE9mDA","10",TRUE,,,"2021-01-25 22:07:13.409205","2021-01-25 22:29:31.294299"
91,"PLuU4bF97vdawqPK4s3hOJXrcOdOtIo6XL","Tango figures to study","","chollapete","UCHUkJBzyI7FxigKz5huO6Zw","10",TRUE,,,"2021-01-25 22:07:13.416576","2021-01-25 22:38:26.544197"
92,"PLArZuGRyvlv8oEykDyKhKzriSetwBZ8H-","Tango performance","","sun kim","UCXbsJEYQJg2y1VH9GcnAfEw","7",TRUE,,,"2021-01-25 22:07:13.424271","2021-01-25 22:29:32.581526"
93,"PLz5oe4TOPsCfS9T6ugWsytOR2OZ5fFOG9","Tango demos mixed","","Berenice Gonsen","UCtKdrXF8Z6bHwCieeZcwonA","17",TRUE,,,"2021-01-25 22:07:13.432218","2021-01-25 22:38:27.947872"
94,"PLAFAF1F23919E57DB","Tango Video","like it","toburisu","UC29Iq48T0Rcn6LXcXxR3zSg","7",TRUE,,,"2021-01-25 22:07:13.439076","2021-01-25 22:29:33.593218"
95,"PLp0bxBMNgihF-p20L9cDIMuhnbt4YRzP3","Best tango practice","","john amore","UCJLAqMG57xg-O0oR50CU9zA","266",TRUE,,,"2021-01-25 22:07:13.446351","2021-01-25 22:29:34.560221"
96,"PL52uMEa-6ZysMM6suysSdYm0C_bdE1gv7","Tango neo","","Vivian van Bruggen - Raeven","UCD_-AFARSOMQVD84dv1YY4w","22",TRUE,,,"2021-01-25 22:07:13.452132","2021-01-25 22:38:30.007515"
97,"PL9C55E872734153A9","Gustavo y Maria - Spokane Tango Workshop","Recaps of lessons and two performances","Matt Doval","UCcH0hHyBz3nmERSgxKWYsHA","14",TRUE,,,"2021-01-25 22:07:13.458354","2021-01-25 22:30:00.88053"
98,"PL30i3Zgur7wKEd-jH7HSi5OBJji3C8ric","Tango-Show","","Jørn Aaberg","UCh30khsLbEIvDA1T0JPSBYw","22",TRUE,,,"2021-01-25 22:07:13.464713","2021-01-25 22:38:32.58057"
99,"PL9311880D24882FC0","Tango","Selection of dancers of Argentinean Tango I like.","Marc van Oostendorp","UCcAr6V5UGVNiEw3MbM6_F3A","38",TRUE,,,"2021-01-25 22:07:13.472392","2021-01-25 22:30:02.477966"
100,"PL34B7FEFEBBD364C6","Tango For All Performances","try out","TangoForAll I","UCTncUK75nsLYLB1-7kB1EbQ","13",TRUE,,,"2021-01-25 22:07:13.481322","2021-01-25 22:38:35.052207"
101,"PLodlOGyopkiaMHFoLQIknTnaj-XCF_JQd","Tango","","Harm Bouwman","UCYfqxUQVPgpF0lzysxeRXEw","9",TRUE,,,"2021-01-25 22:07:13.490723","2021-01-25 22:30:05.948801"
102,"PLrF_TuyTqTDUOeSI7yIinuRF47PM43_Bo","Best tango videos","","Calesita Tango Ljubljana","UCgruFzNOBbqpKmRX2bHx4Tg","12",TRUE,,,"2021-01-25 22:07:13.498199","2021-01-25 22:38:36.877423"
103,"PLx2IS8ygoOFeuH6fgNN8pcKROudvxgxzV","Tango Performance","","Muhammad Abdullah","UCFRQYUhv3jBVDOEbQRKq0rA","22",TRUE,,,"2021-01-25 22:07:13.506566","2021-01-25 22:30:07.086606"
