Genre,Title,Artist
Tango,En secreto,Miguel Caló
Tango,En tus ojos de cielo,Miguel Caló
Tango,Enrique Delfino,Miguel Caló
Tango,Entre dos,Miguel Caló
Tango,Es en vano llorar,Miguel Caló
Tango,Es una santa mamá,Miguel Caló
Tango,Esquinero,Miguel Caló
Tango,Extraña,Miguel Caló
Tango,Fantasma,Miguel Caló
Tango,Fatalmente nada,Miguel Caló
Vals,Flor de lino,Miguel Caló
Tango,Fruta amarga,Miguel Caló
Tango,Garras,Miguel Caló
Tango,Gime el viento,Miguel Caló
Tango,Gloria,Miguel Caló
Tango,He vuelto muchachos,Miguel Caló
Tango,Igual que una sombra,Miguel Caló
Tango,Inspiración,Miguel Caló
Tango,Inútil,Miguel Caló
Tango,Jamás retornarás,Miguel Caló
Vals,Jugando jugando,Miguel Caló
Tango,La abandoné y no sabía,Miguel Caló
Tango,La cantina,Miguel Caló
Tango,La casa vacía,Miguel Caló
Tango,La copa del olvido,Miguel Caló
Tango,La cumparsita,Miguel Caló
Tango,La de los ojos tristes,Miguel Caló
Tango,A la gran muñeca,Miguel Caló
Tango,La guiñada,Miguel Caló
Tango,La guitarrita,Miguel Caló
Tango,La luz de la pensión,Miguel Caló
Tango,La maleva,Miguel Caló
Tango,La mentirosa,Miguel Caló
Tango,La noche que te fuiste,Miguel Caló
Vals,La perinola,Miguel Caló
Milonga,La trampera,Miguel Caló
Tango,La última cita,Miguel Caló
Tango,La última copa,Miguel Caló
Tango,La vi llegar,Miguel Caló
Tango,Las campanas,Miguel Caló
Tango,A las estrellas,Miguel Caló
Tango,A las siete en el café,Miguel Caló
Tango,Lejos de Buenos Aires,Miguel Caló
Tango,Lluvia de abril,Miguel Caló
Tango,Lo han visto con otra,Miguel Caló
Tango,Lo pense así,Miguel Caló
Tango,Lo que vos te mereces,Miguel Caló
Tango,Loco turbión,Miguel Caló
Tango,Los años pasan,Miguel Caló
Tango,Los despojos,Miguel Caló
Tango,Los mareados,Miguel Caló
Vals,Luna de plata,Miguel Caló
Tango,"`¸ .=,-m0 A~A~de+}|_}",Miguel Caló
Tango,Madalit,Miguel Caló
Tango,Madre,Miguel Caló
Tango,Madre hay una sola,Miguel Caló
Tango,Malena,Miguel Caló
Tango,Mama yo quiero un novio,Miguel Caló
Tango,Mañana iré temprano,Miguel Caló
Tango,Mañana no estarás,Miguel Caló
Tango,Mano a mano,Miguel Caló
Vals,Manos adoradas,Miguel Caló
Tango,Margarita Gauthier,Miguel Caló
Tango,Margo,Miguel Caló
Tango,Marión,Miguel Caló
Tango,A Martín Fierro,Miguel Caló
Vals,Me duele el corazón,Miguel Caló
Tango,Me llamo Anselmo Contreras,Miguel Caló
Tango,A media luz,Miguel Caló
Tango,Melodía de arrabal,Miguel Caló
Tango,Mentiras piadosas,Miguel Caló
Tango,Mi Buenos Aires querido,Miguel Caló
Tango,Mi cantar,Miguel Caló
Tango,Mi flor de noche,Miguel Caló
Tango,"A mi me gusta, a usted?",Miguel Caló
Tango,A mi me llaman Juan Tango,Miguel Caló
Tango,Mi moro,Miguel Caló
Tango,Mi natai,Miguel Caló
Tango,Mi tango es triste,Miguel Caló
Tango,Mi tango triste,Miguel Caló
Tango,Mientras vuelva el amor,Miguel Caló
Milonga,Milonga antigua,Miguel Caló
Milonga,Milonga milonguera,Miguel Caló
Tango,Milonga porteña,Miguel Caló
Milonga,Milonga que peina canas,Miguel Caló
Tango,A mucha honra,Miguel Caló
Tango,Murmullos,Miguel Caló
Tango,Nada,Miguel Caló
Tango,Nadine,Miguel Caló
Tango,Nido gaucho,Miguel Caló
Milonga,No son siete son catorce,Miguel Caló
Vals,No te olvides de mi corazón,Miguel Caló
Tango,No te perdono más,Miguel Caló
Tango,No vale la pena,Miguel Caló
Tango,Noche de locura,Miguel Caló
Tango,Noche de plataforma,Miguel Caló
Milonga,Nocturna,Miguel Caló
Tango,Nostalgias,Miguel Caló
Tango,Notas para el cielo,Miguel Caló
Tango,Nubes de humo,Miguel Caló
Tango,Nunca más,Miguel Caló
Tango,Orquestas de mi ciudad,Miguel Caló
Tango,Otro tango,Miguel Caló
Tango,Oyeme,Miguel Caló
Tango,Pa' que seguir,Miguel Caló
Tango,Pa'que seguir,Miguel Caló
Tango,Para el recuerdo,Miguel Caló
Tango,Para Osmar Maderna,Miguel Caló
Tango,Para siempre,Miguel Caló
Tango,Pasional,Miguel Caló
Vals,Pedacito de cielo,Miguel Caló
Tango,Percal,Miguel Caló
Tango,Pimienta,Miguel Caló
Tango,Plomo,Miguel Caló
Vals,Pobre mi madre querida,Miguel Caló
Tango,Por la cuesta arriba,Miguel Caló
Tango,Por que seguir,Miguel Caló
Tango,Por unos ojos negros,Miguel Caló
Milonga,Porteñísima,Miguel Caló
Tango,Porteñísimo,Miguel Caló
Tango,Portero suba y diga,Miguel Caló
Tango,Precio,Miguel Caló
Tango,Primero yo,Miguel Caló
Tango,Pudo ser una vida,Miguel Caló
Tango,Qué cosas tiene la vida,Miguel Caló
Tango,Qué falta que me haces,Miguel Caló
Tango,Qué falta que me hacés!,Miguel Caló
Tango,Qué me van a hablar de amor,Miguel Caló
Tango,Qué te importa que te llore,Miguel Caló
Tango,Qué te lo diga dios,Miguel Caló
Tango,Quedémonos aqui,Miguel Caló
Tango,Quedó en venir a las nueve,Miguel Caló
Tango,Quiero verte una vez más,Miguel Caló
Tango,Racconto,Miguel Caló
Tango,Rebeldía,Miguel Caló
Tango,Rondando tu esquina,Miguel Caló
Tango,Sabor a Buenos Aires,Miguel Caló
Tango,Saludos,Miguel Caló
Tango,Sans souci,Miguel Caló
Tango,Seis días,Miguel Caló
Tango,Señor que no me mira,Miguel Caló
Tango,Sensiblero,Miguel Caló
Tango,Serpentina de esperanza,Miguel Caló
Tango,Si tu quisieras,Miguel Caló
Tango,Si volviera Jesús,Miguel Caló
Tango,Si yo pudiera comprender,Miguel Caló
Tango,Sin comprender,Miguel Caló
Tango,Sin palabras,Miguel Caló
Tango,Snobismo,Miguel Caló
Tango,Sobre un mar de azoteas,Miguel Caló
Tango,Sol,Miguel Caló
Tango,Soledad la de Barracas,Miguel Caló
Tango,Soy melodioso,Miguel Caló
Tango,Soy milonguero,Miguel Caló
Vals,Sueña,Miguel Caló
Tango,Tabaco,Miguel Caló
Tango,Tanto,Miguel Caló
Tango,Tarareando,Miguel Caló
Tango,Tarde gris,Miguel Caló
Tango,Te pregunto,Miguel Caló
Tango,Tedio,Miguel Caló
Tango,Tengo,Miguel Caló
Tango,Tierra querida,Miguel Caló
Vals,Todos vuelven,Miguel Caló
Tango,Tomá estas monedas,Miguel Caló
Milonga,Trapitos,Miguel Caló
Tango,Trasnochando,Miguel Caló
Tango,Trenzas,Miguel Caló
Tango,Tres esperanzas,Miguel Caló
Tango,Tristezas de la calle Corrientes,Miguel Caló
Tango,Tú,Miguel Caló
Tango,Tú eres para mí,Miguel Caló
Tango,Tú piel de jazmín,Miguel Caló
Tango,Un alma buena,Miguel Caló
Tango,Un crimen,Miguel Caló
Tango,Un infierno,Miguel Caló
Tango,Un lugar para los dos,Miguel Caló
Tango,Un tango para la historia,Miguel Caló
Tango,Una fija,Miguel Caló
Tango,Una tarde cualquiera,Miguel Caló
Vals,Unamos nuestras vidas,Miguel Caló
Tango,Unión Cívica,Miguel Caló
Tango,Uno,Miguel Caló
