DATE,ARTIST,TITLE,2nd ARTIST,STYLE,COMPOSER,AUTHOR,LAST_NAME_SEARCH,,,,
3/26/45,Alfredo DE ANGELIS,Pregonera,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,,,,
5/4/45,Alfredo DE ANGELIS,Acordes porteños,Julio Martel,TANGO,?,?,ANGELIS,,,,
5/4/45,Alfredo DE ANGELIS,Ya estamos iguales,Carlos Dante,TANGO,Anselmo Aieta,Francisco García Jiménez,ANGELIS,,,,
6/8/45,Alfredo DE ANGELIS,Altar sin luz,Julio Martel,TANGO,Guillermo Vilar,Iván Diez,ANGELIS,,,,
6/8/45,Alfredo DE ANGELIS,Ilusión azul,Carlos Dante,VALS,Arquímedes Arci,Arquímedes Arci,ANGELIS,,,,
7/17/45,Alfredo DE ANGELIS,No no me abandones,Julio Martel,TANGO,Héctor Grané,Justo Ricardo Thompson,ANGELIS,,,,
7/17/45,Alfredo DE ANGELIS,Un tango y nada mas,Julio Martel,TANGO,Armando Lacava y Juan Pomati,Carlos Waiss,ANGELIS,,,,
8/10/45,Alfredo DE ANGELIS,Por eso grito,Julio Martel,TANGO,Edgardo Donato,César Córdoba,ANGELIS,,,,
8/31/45,Alfredo DE ANGELIS,Vieja luna,Carlos Dante,TANGO,Arturo Gallucci,Celedonio Flores,ANGELIS,,,,
9/11/45,Alfredo DE ANGELIS,Rendido,Julio Martel,TANGO,Alfredo Cordisco,Alberto Leiva,ANGELIS,,,,
9/11/45,Alfredo DE ANGELIS,Soy un arlequín,Carlos Dante,TANGO,Enrique Santos Discépolo,Enrique Santos Discépolo,ANGELIS,,,,
10/29/45,Alfredo DE ANGELIS,Mentiras piadosas,Carlos Dante,TANGO,Miguel Nijensohn y Pedro Héctor Pandolfi,Carlos Marín,ANGELIS,,,,
10/30/45,Alfredo DE ANGELIS,Ivón,Julio Martel,TANGO,Luis Visca,Horacio Sanguinetti,ANGELIS,,,,
11/13/45,Alfredo DE ANGELIS,Del pasado,Carlos Dante y Julio Martel,MILONGA,Alfredo Marino,Alfredo Marino,ANGELIS,,,,
11/13/45,Alfredo DE ANGELIS,Para qué te quiero tanto,Carlos Dante,TANGO,Juan Larenza,Cátulo Castillo,ANGELIS,,,,
12/13/45,Alfredo DE ANGELIS,Aqui he venido a cantar,Julio Martel,TANGO,Fulvio Salamanca,Carlos Bahr,ANGELIS,,,,
12/13/45,Alfredo DE ANGELIS,Sirva otra copa,Carlos Dante,TANGO,Arturo Gallucci,José Rótulo,ANGELIS,,,,
1/7/46,Alfredo DE ANGELIS,El entrerriano,,TANGO,Rosendo Mendizabal,Homero Exposito,ANGELIS,,,,
1/7/46,Alfredo DE ANGELIS,Pobre flor,Carlos Dante y Julio Martel,VALS,Luis Mottolese,Víctor Feliciano Spíndola,ANGELIS,,,,
3/1/46,Alfredo DE ANGELIS,Carnaval,Carlos Dante,TANGO,Anselmo Aieta,Francisco García Jiménez,ANGELIS,,,,
3/1/46,Alfredo DE ANGELIS,Hoy al recordarla,Julio Martel,TANGO,José Canet,José Canet,ANGELIS,,,,
3/29/46,Alfredo DE ANGELIS,Para mí lo mismo da,Carlos Dante,TANGO,Alberto Talián y Eduardo Talián,Santiago Adamini,ANGELIS,,,,
3/29/46,Alfredo DE ANGELIS,Y no volvió,Julio Martel,TANGO,Carlos Cubría y Héctor Gentile,José Rótulo,ANGELIS,,,,
4/26/46,Alfredo DE ANGELIS,El mayoral del tranvía,Julio Martel,MILONGA,Carlos Mayel,Francisco Laino,ANGELIS,,,,
4/26/46,Alfredo DE ANGELIS,La brisa,Carlos Dante,TANGO,Francisco Canaro y Juan Canaro,Juan Andrés Caruso,ANGELIS,,,,
5/24/46,Alfredo DE ANGELIS,Esa noche,Julio Martel,VALS,Tito Ribero,Carlos Waiss,ANGELIS,,,,
5/24/46,Alfredo DE ANGELIS,Remolino,Carlos Dante y Julio Martel,TANGO,Alfredo De Angelis,José Rótulo,ANGELIS,,,,
6/28/46,Alfredo DE ANGELIS,Con alma de tango,Carlos Dante,TANGO,Juan D'Arienzo,Carlos Waiss,ANGELIS,,,,
